Gene Name,Accession-1,Left-End-Position,Right-End-Position,Product,Interrupted?,"Gene products (complexes, polypeptides, and RNAs)",replicon
G6387,b0718,748944,751392,G6387-MONOMER,,G6387-MONOMER,NC_000913.2
EG12015,b2134,2221959,2222892,EG12015-MONOMER,,EG12015-MONOMER,NC_000913.2
G7259,b2418,2534407,2535259,G7259-MONOMER,,PDXK-CPLX,NC_000913.2
G6230,b0387,404987,405446,G6230-MONOMER,,G6230-MONOMER,NC_000913.2
EG11003,b0436,454356,455655,EG11003-MONOMER,,EG11003-MONOMER,NC_000913.2
EG11487,b1638,1715374,1716031,EG11487-MONOMER,,PDXH-CPLX,NC_000913.2
G0-8891,b4595,1306811,1306985,G0-8891-MONOMER,,MONOMER0-765,NC_000913.2
EG10347,b0095,105304,106456,EG10347-MONOMER,,EG10347-MONOMER,NC_000913.2
G6879,b1636,1713049,1713913,G6879-MONOMER,,CPLX0-8031,NC_000913.2
G6785,b1491,1565527,1566847,G6785-MONOMER,,G6785-MONOMER,NC_000913.2
EG10175,b0340,358712,359183,EG10175-MONOMER,,CYANLY-CPLX,NC_000913.2
G0-10649,b4676,1876796,1876895,G0-10649-MONOMER,,MONOMER0-2876,NC_000913.2
EG11676,b3932,4119779,4120310,EG11676-MONOMER,,CPLX0-1163,NC_000913.2
EG10176,b0339,358022,358682,EG10176-MONOMER,,CARBODEHYDRAT-CPLX,NC_000913.2
EG12859,b1424,1494879,1496535,EG12859-MONOMER,,EG12859-MONOMER,NC_000913.2
EG10935,b1916,1994133,1994856,EG10935-MONOMER,,PD02198,NC_000913.2
EG20080,b2976,3119655,3121827,EG20080-MONOMER,,MALSYNG-MONOMER,NC_000913.2
EG12337,b0164,184256,185069,EG12337-MONOMER,,EG12337-MONOMER,NC_000913.2
EG10344,b0089,98402,99647,EG10344-MONOMER,,EG10344-MONOMER,NC_000913.2
G6278,b0509,535809,536688,G6278-MONOMER,,CPLX0-7616,NC_000913.2
EG12212,b3466,3603001,3603271,EG12212-MONOMER,,EG12212-MONOMER,NC_000913.2
EG11494,b1097,1153334,1154357,EG11494-MONOMER,,EG11494-MONOMER,NC_000913.2
EG10306,b1102,1158584,1160774,EG10306-MONOMER,,CPLX0-7952,NC_000913.2
EG11943,b4068,4282921,4283236,EG11943-MONOMER,,YJCH-MONOMER,NC_000913.2
EG10618,b0924,975548,980009,EG10618-MONOMER,,CPLX0-2561,NC_000913.2
G6909,b1683,1760545,1762033,G6909-MONOMER,,CPLX0-1341,NC_000913.2
EG11825,b1464,1532988,1533882,EG11825-MONOMER,,CPLX0-8565,NC_000913.2
EG10340,b3463,3600101,3600770,EG10340-MONOMER,,ABC-54-CPLX,NC_000913.2
G6905,b1679,1756897,1757314,G6905-MONOMER,,G6905-MONOMER,NC_000913.2
EG11604,b4473,3430457,3431582,EG11604-MONOMER,,EG11604-MONOMER,NC_000913.2
EG12878,b2910,3053633,3053963,EG12878-MONOMER,,CPLX0-7538,NC_000913.2
EG12073,b2214,2308500,2309556,EG12073-MONOMER,,EG12073-MONOMER,NC_000913.2
EG11445,b2918,3061008,3062004,EG11445-MONOMER,,EG11445-MONOMER,NC_000913.2
EG11299,b3247,3394347,3395817,EG11299-MONOMER,,CPLX0-1621,NC_000913.2
EG11378,b1684,1762041,1762410,EG11378-MONOMER,,CPLX0-7824,NC_000913.2
G7927,b4330,4558019,4558703,G7927-MONOMER,,G7927-MONOMER,NC_000913.2
EG10600,b4142,4368710,4369004,EG10600-MONOMER,,CPLX0-3934,NC_000913.2
G7748,b3414,3543645,3544221,G7748-MONOMER,,CPLX0-7682,NC_000913.2
EG11214,b4360,4597717,4598212,EG11214-MONOMER,,EG11214-MONOMER,NC_000913.2
EG10237,b4361,4598260,4598998,EG10237-MONOMER,,EG10237-MONOMER,NC_000913.2
G6907,b1681,1758543,1759815,G6907-MONOMER,,CPLX0-1341,NC_000913.2
G7767,b3472,3607977,3608535,G7767-MONOMER,,G7767-MONOMER,NC_000913.2
G7656,b3183,3328603,3329776,G7656-MONOMER,,G7656-MONOMER,NC_000913.2
EG12131,b2527,2656973,2657489,EG12131-MONOMER,,EG12131-MONOMER,NC_000913.2
EG11139,b1908,1988977,1989643,EG11139-MONOMER,,EG11139-MONOMER,NC_000913.2
EG12313,b0102,111855,112599,EG12313-MONOMER,,CPLX0-7973,NC_000913.2
EG11415,b0812,847630,848134,EG11415-MONOMER,,CPLX0-1521,NC_000913.2
G7674,b3220,3365848,3366976,G7674-MONOMER,,G7674-MONOMER,NC_000913.2
EG11191,b3641,3812516,3813113,EG11191-MONOMER,,CPLX0-7922,NC_000913.2
EG10299,b0585,612037,613162,EG10299-MONOMER,,EG10299-MONOMER,NC_000913.2
EG10849,b0497,522484,526765,EG10849-MONOMER,,EG10849-MONOMER,NC_000913.2
EG10597,b1175,1223771,1224584,EG10597-MONOMER,,CPLX0-8188,NC_000913.2
G6908,b1682,1759789,1760536,G6908-MONOMER,,CPLX0-1341,NC_000913.2
G7551,b2985,3131265,3131979,G7551-MONOMER,,G7551-MONOMER,NC_000913.2
EG10125,b0435,453695,454013,EG10125-MONOMER,,MONOMER0-4536,NC_000913.2
EG12132,b2528,2657584,2657908,EG12132-MONOMER,,CPLX0-7908,NC_000913.2
G7436,b2770,2893797,2894577,G7436-MONOMER,,G7436-MONOMER,NC_000913.2
G6171,b0301,316949,317543,G6171-MONOMER,,G6171-MONOMER,NC_000913.2
EG11653,b3807,3991761,3992082,EG11653-MONOMER,,EG11653-MONOMER,NC_000913.2
G7296,b2473,2591093,2591792,G7296-MONOMER,,G7296-MONOMER,NC_000913.2
EG31116,b4458,4156307,4156417,EG31116-ncRNA,,OXYS-RNA,NC_000913.2
EG11332,b2498,2618267,2618894,EG11332-MONOMER,,URACIL-PRIBOSYLTRANS-CPLX,NC_000913.2
G7148,b2176,2268747,2270304,G7148-MONOMER,,G7148-MONOMER,NC_000913.2
G7530,b2954,3094702,3095296,G7530-MONOMER,,CPLX0-7826,NC_000913.2
EG10413,b3779,3960767,3962252,EG10413-MONOMER,,PPPGPPHYDRO-CPLX,NC_000913.2
G6989,b1803,1883868,1884834,G6989-MONOMER,,CPLX0-8232,NC_000913.2
EG12209,b0624,656777,657161,EG12209-MONOMER,,CPLX0-8271,NC_000913.2
G85,b2407,2522066,2522900,G85-MONOMER,,XANTHOSINEPHOSPHORY-CPLX,NC_000913.2
G6888,b1648,1723704,1723944,G6888-MONOMER,,G6888-MONOMER,NC_000913.2
G7323,b2520,2645347,2650309,G7323-MONOMER,,G7323-MONOMER,NC_000913.2
EG11265,b0910,960423,961107,EG11265-MONOMER,,CMPKI-MONOMER,NC_000913.2
G6742,b1431,1500480,1501149,G6742-MONOMER,,G6742-MONOMER,NC_000913.2
EG11714,b3690,3867399,3868464,EG11714-MONOMER,,EG11714-MONOMER,NC_000913.2
EG10661,b2235,2345405,2346536,EG10661-MONOMER,,RIBONUCLEOSIDE-DIP-REDUCTI-CPLX,NC_000913.2
G6560,b1068,1126028,1126952,G6560-MONOMER,,G6560-MONOMER,NC_000913.2
G6615,b1178,1226293,1226695,G6615-MONOMER,,G6615-MONOMER,NC_000913.2
EG10223,b0840,881198,881957,EG10223-MONOMER,,PD01196,NC_000913.2
G6434,b0834,874557,875886,G6434-MONOMER,,G6434-MONOMER,NC_000913.2
G6173,b0303,317554,317791,G6173-MONOMER,,G6173-MONOMER,NC_000913.2
EG20098,b0125,141430,141967,EG20098-MONOMER,,CPLX0-7685,NC_000913.2
G6355,b0648,678730,679438,G6355-MONOMER,,G6355-MONOMER,NC_000913.2
G0-10716,b4706,2666027,2666093,G0-10716-MONOMER,,MONOMER0-4224,NC_000913.2
EG11082,b0030,27292,28207,EG11082-MONOMER,,EG11082-MONOMER,NC_000913.2
G6190,b0325,342107,343157,G6190-MONOMER,,G6190-MONOMER,NC_000913.2
G7564,b3011,3153376,3154540,G7564-MONOMER,,CPLX0-7667,NC_000913.2
EG10220,b4383,4617625,4618849,EG10220-MONOMER,,PPENTOMUT-MONOMER,NC_000913.2
G0-17079,G0-17079,0,149,G0-17079-RNA,,RNA0-408,G0-17079
G7398,b2668,2795541,2796066,G7398-MONOMER,,CPLX0-8219,NC_000913.2
EG12030,b2162,2252266,2253208,EG12030-MONOMER,,CPLX0-7904,NC_000913.2
EG11918,b4002,4199285,4199711,EG11918-MONOMER,,CPLX0-8204,NC_000913.2
EG10160,b4213,4432644,4434588,EG10160-MONOMER,,CPDB-MONOMER,NC_000913.2
G0-10645,b4673,1388891,1388957,G0-10645-MONOMER,,MONOMER0-2872,NC_000913.2
EG11600,b2521,2650515,2651361,EG11600-MONOMER,,EG11600-MONOMER,NC_000913.2
EG11701,b2066,2140330,2140972,EG11701-MONOMER,,UDK-MONOMER,NC_000913.2
EG12843,b0468,490105,490483,EG12843-MONOMER,,EG12843-MONOMER,NC_000913.2
G6174,b0304,317899,319225,G6174-MONOMER,,CPLX0-8542,NC_000913.2
EG10965,b3648,3819450,3820074,EG10965-MONOMER,,GUANYL-KIN-CPLX,NC_000913.2
EG12323,b2244,2354925,2355825,EG12323-MONOMER,,EG12323-MONOMER,NC_000913.2
G6104,b0220,240342,240816,G6104-MONOMER,,CPLX0-921,NC_000913.2
EG10422,b0104,113443,114487,EG10422-MONOMER,,GMP-REDUCT-CPLX,NC_000913.2
EG12110,b1414,1485258,1486059,EG12110-MONOMER,,EG12110-MONOMER,NC_000913.2
G7649,b3155,3297987,3298290,G7649-MONOMER,,G7649-MONOMER,NC_000913.2
EG10048,b0049,50379,51222,EG10048-MONOMER,,EG10048-MONOMER,NC_000913.2
EG11937,b4060,4272782,4273064,EG11937-MONOMER,,EG11937-MONOMER,NC_000913.2
G7399,b2670,2797185,2797635,G7399-MONOMER,,G7399-MONOMER,NC_000913.2
EG11418,b2065,2139657,2140239,EG11418-MONOMER,,DCTP-DEAM-CPLX,NC_000913.2
EG11775,b0685,710827,711121,EG11775-MONOMER,,EG11775-MONOMER,NC_000913.2
EG12045,b2184,2278653,2280414,EG12045-MONOMER,,EG12045-MONOMER,NC_000913.2
EG10809,b1281,1339944,1340682,EG10809-MONOMER,,OROTPDECARB-CPLX,NC_000913.2
EG11571,b0065,71350,72115,EG11571-MONOMER,,EG11571-MONOMER,NC_000913.2
G6939,b1743,1823163,1823649,G6939-MONOMER,,CPLX0-7923,NC_000913.2
EG10414,b0238,255976,256435,EG10414-MONOMER,,GPT-CPLX,NC_000913.2
EG11400,b3508,3653277,3653925,EG11400-MONOMER,,EG11400-MONOMER,NC_000913.2
EG11662,b1931,2007844,2008513,EG11662-MONOMER,,EG11662-MONOMER,NC_000913.2
EG10030,b1623,1700256,1701258,EG10030-MONOMER,,ADENODEAMIN-MONOMER,NC_000913.2
G7876,b4222,4445916,4446258,G7876-MONOMER,,G7876-MONOMER,NC_000913.2
EG11326,b0337,355394,356678,EG11326-MONOMER,,CPLX0-7932,NC_000913.2
EG11195,b3697,3874162,3874975,EG11195-MONOMER,,EG11195-MONOMER,NC_000913.2
EG10790,b4177,4402709,4404008,EG10790-MONOMER,,ADENYLOSUCCINATE-SYN-DIMER,NC_000913.2
G7742,b3399,3526690,3527359,G7742-MONOMER,,G7742-MONOMER,NC_000913.2
EG10225,b0160,179236,180754,EG10225-MONOMER,,DGTPTRIPHYDRO-CPLX,NC_000913.2
EG11133,b1708,1790290,1790755,EG11133-MONOMER,,EG11133-MONOMER,NC_000913.2
EG20257,b2675,2799369,2801514,EG20257-MONOMER,,RIBONUCLEOSIDE-DIP-REDUCTII-CPLX,NC_000913.2
G7648,b3154,3297493,3297937,G7648-MONOMER,,G7648-MONOMER,NC_000913.2
G6776,b1481,1554088,1554304,G6776-MONOMER,,G6776-MONOMER,NC_000913.2
EG11090,b0159,178454,179153,EG11090-MONOMER,,CPLX0-1541,NC_000913.2
EG10780,b1308,1367712,1368027,EG10780-MONOMER,,EG10780-MONOMER,NC_000913.2
G358,b1073,1130240,1130657,G358-MONOMER,,CPLX0-7452,NC_000913.2
EG10221,b4381,4615345,4616125,EG10221-MONOMER,,DEOXYRIBOSE-P-ALD-MONOMER,NC_000913.2
G7529,b2953,3094404,3094695,G7529-MONOMER,,G7529-MONOMER,NC_000913.2
EG11355,b1922,1999093,1999813,EG11355-MONOMER,,CPLX0-222,NC_000913.2
EG12302,b1098,1154346,1154988,EG12302-MONOMER,,CPLX0-8260,NC_000913.2
G7432,b2766,2890678,2891950,G7432-MONOMER,,G7432-MONOMER,NC_000913.2
EG10319,b1891,1975289,1975868,EG10319-MONOMER,,CPLX0-3930,NC_000913.2
EG10200,b3934,4121453,4122479,EG10200-MONOMER,,CPLX0-8051,NC_000913.2
G7260,b2419,2535363,2535738,G7260-MONOMER,,G7260-MONOMER,NC_000913.2
G6532,b1025,1092098,1093457,G6532-MONOMER,,G6532-MONOMER,NC_000913.2
EG11934,b4055,4267436,4268150,EG11934-MONOMER,,APHA-CPLX,NC_000913.2
G7064,b1978,2042961,2050038,G7064-MONOMER,,G7064-MONOMER,NC_000913.2
EG12403,b1218,1271729,1272425,EG12403-MONOMER,,EG12403-MONOMER,NC_000913.2
EG10966,b3650,3820422,3822531,EG10966-MONOMER,,SPOT-MONOMER,NC_000913.2
G6981,b1795,1877030,1877279,G6981-MONOMER,,G6981-MONOMER,NC_000913.2
EG11034,b4355,4589679,4591335,EG11034-MONOMER,,TSR-CPLX,NC_000913.2
EG10650,b2518,2642454,2642886,EG10650-MONOMER,,NUCLEOSIDE-DIP-KIN-CPLX,NC_000913.2
G6870,b1626,1703273,1703714,G6870-MONOMER,,G6870-MONOMER,NC_000913.2
EG10149,b1887,1970859,1971363,EG10149-MONOMER,,TRG-CPLX // TAP-CPLX // TSR-CPLX // TAR-CPLX,NC_000913.2
EG10051,b0469,490635,491187,EG10051-MONOMER,,ADENPRIBOSYLTRAN-CPLX,NC_000913.2
G6672,b1340,1404002,1404566,G6672-MONOMER,,G6672-MONOMER,NC_000913.2
G370,b1879,1960995,1963074,G370-MONOMER,,CPLX0-7451,NC_000913.2
EG11539,b0171,191854,192580,EG11539-MONOMER,,UMPKI-CPLX,NC_000913.2
G6527,b1018,1081465,1082593,G6527-MONOMER,,G6527-MONOMER,NC_000913.2
EG12002,b2121,2205988,2207125,EG12002-MONOMER,,EG12002-MONOMER,NC_000913.2
EG10810,b2780,2906050,2907688,EG10810-MONOMER,,CTPSYN-CPLX,NC_000913.2
G6425,b0822,858435,859251,G6425-MONOMER,,G6425-MONOMER,NC_000913.2
EG10987,b1885,1967406,1969008,EG10987-MONOMER,,TAP-CPLX,NC_000913.2
EG10420,b2507,2628979,2630557,EG10420-MONOMER,,GMP-SYN-CPLX,NC_000913.2
G6324,b0579,604740,605109,G6324-MONOMER,,G6324-MONOMER,NC_000913.2
EG10146,b1888,1971383,1973348,EG10146-MONOMER,,TRG-CPLX // TAP-CPLX // TSR-CPLX // TAR-CPLX,NC_000913.2
EG10032,b0474,496398,497043,EG10032-MONOMER,,ADENYL-KIN-MONOMER,NC_000913.2
G6162,b0291,306030,308556,G6162-MONOMER,,G6162-MONOMER,NC_000913.2
G7595,b3072,3215577,3217098,G7595-MONOMER,,G7595-MONOMER,NC_000913.2
EG10795,b4006,4203965,4205555,EG10795-MONOMER,,AICARTRANSIMPCYCLO-CPLX,NC_000913.2
G0-17076,G0-17076,0,83,G0-17076-RNA,,RNA0-405,G0-17076
G365,b1080,1135496,1136594,G365-MONOMER,,CPLX0-7452,NC_000913.2
EG10251,b3640,3811954,3812410,EG10251-MONOMER,,DUTP-PYROP-CPLX,NC_000913.2
G0-16636,b4759,0,67,G0-16636-RNA,,RNA0-388,b4759
EG11656,b1940,2013891,2014578,EG11656-MONOMER,,CPLX0-7451,NC_000913.2
G6358,b0651,682699,683635,G6358-MONOMER,,CPLX0-8280,NC_000913.2
G0-10593,b4601,1669800,1669884,G0-10593-MONOMER,,MONOMER0-2821,NC_000913.2
EG10601,b1890,1974275,1975163,EG10601-MONOMER,,CPLX0-7452,NC_000913.2
EG11102,b0477,499348,500653,EG11102-MONOMER,,CPLX0-322,NC_000913.2
EG12705,b2958,3098925,3099645,EG12705-MONOMER,,EG12705-MONOMER,NC_000913.2
G7049,b1956,2024346,2026041,G7049-MONOMER,,G7049-MONOMER,NC_000913.2
EG10660,b2234,2342886,2345172,EG10660-MONOMER,,RIBONUCLEOSIDE-DIP-REDUCTI-CPLX,NC_000913.2
EG12290,b3586,3750985,3752122,EG12290-MONOMER,,EG12290-MONOMER,NC_000913.2
G362,b1077,1133024,1133780,G362-MONOMER,,CPLX0-7452,NC_000913.2
EG12381,b2676,2801523,2802483,EG12381-MONOMER,,RIBONUCLEOSIDE-DIP-REDUCTII-CPLX,NC_000913.2
EG12097,b2593,2732324,2733056,EG12097-MONOMER,,EG12097-MONOMER,NC_000913.2
EG11545,b1083,1139255,1140209,EG11545-MONOMER,,CPLX0-7452,NC_000913.2
EG11045,b3831,4014453,4015215,EG11045-MONOMER,,URPHOS-CPLX,NC_000913.2
EG11922,b4023,4229381,4229654,EG11922-MONOMER,,EG11922-MONOMER,NC_000913.2
EG10323,b1945,2018110,2019115,EG10323-MONOMER,,CPLX0-7452,NC_000913.2
EG10219,b4382,4616251,4617574,EG10219-MONOMER,,DEOA-CPLX,NC_000913.2
EG11735,b1019,1082598,1083870,EG11735-MONOMER,,CPLX0-7810,NC_000913.2
G359,b1074,1130660,1131065,G359-MONOMER,,CPLX0-7452,NC_000913.2
EG10994,b1238,1292749,1293367,EG10994-MONOMER,,CPLX0-8261,NC_000913.2
EG11540,b1004,1066334,1066931,EG11540-MONOMER,,CPLX0-7632,NC_000913.2
EG11388,b1925,2003326,2003737,EG11388-MONOMER,,EG11388-MONOMER,NC_000913.2
EG10137,b2143,2229865,2230750,EG10137-MONOMER,,CYTIDEAM-CPLX,NC_000913.2
EG11345,b1132,1191212,1191854,EG11345-MONOMER,,EG11345-MONOMER,NC_000913.2
EG10320,b1892,1975870,1976221,EG10320-MONOMER,,CPLX0-3930,NC_000913.2
EG10421,b2508,2630625,2632092,EG10421-MONOMER,,IMP-DEHYDROG-CPLX,NC_000913.2
G7850,b4185,4410409,4411048,G7850-MONOMER,,G7850-MONOMER,NC_000913.2
G6562,b1070,1128636,1129053,G6562-MONOMER,,G6562-MONOMER,NC_000913.2
EG10039,b1982,2053084,2054539,EG10039-MONOMER,,AMP-NUCLEOSID-CPLX,NC_000913.2
EG11187,b3594,3764359,3765202,EG11187-MONOMER,,EG11187-MONOMER,NC_000913.2
EG12880,b2604,2740404,2741631,EG12880-MONOMER,,EG12880-MONOMER,NC_000913.2
EG10626,b0099,111043,111433,EG10626-MONOMER,,EG10626-MONOMER,NC_000913.2
G7732,b3380,3506608,3507835,G7732-MONOMER,,G7732-MONOMER,NC_000913.2
EG11224,b1947,2019527,2019893,EG11224-MONOMER,,CPLX0-7451,NC_000913.2
EG11417,b4238,4458544,4460683,EG11417-MONOMER,,NRDACTMULTI-CPLX,NC_000913.2
EG11122,b1254,1310374,1310914,EG11122-MONOMER,,EG11122-MONOMER,NC_000913.2
EG10150,b1882,1965071,1965461,EG10150-MONOMER,,MONOMER0-4170,NC_000913.2
EG10990,b3117,3263060,3264050,EG10990-MONOMER,,THREDEHYDCAT-CPLX,NC_000913.2
G7616,b3102,3249045,3250032,G7616-MONOMER,,CPLX0-7984,NC_000913.2
G378,b1942,2015969,2016413,G378-MONOMER,,CPLX0-7451,NC_000913.2
EG10993,b3616,3788342,3789368,EG10993-MONOMER,,THREODEHYD-CPLX,NC_000913.2
EG10307,b3361,3488882,3489485,EG10307-MONOMER,,CPLX0-8227,NC_000913.2
EG10988,b1886,1969053,1970715,EG10988-MONOMER,,TAR-CPLX,NC_000913.2
EG10512,b3617,3789377,3790574,EG10512-MONOMER,,AKBLIG-CPLX,NC_000913.2
G7499,b2880,3018561,3019341,G7499-MONOMER,,CPLX0-1841,NC_000913.2
EG10147,b1883,1965475,1966525,EG10147-MONOMER,,PHOSPHO-CHEB,NC_000913.2
EG11172,b3115,3260473,3261682,EG11172-MONOMER,,PROPKIN-MONOMER,NC_000913.2
G7400,b2672,2798167,2798497,G7400-MONOMER,,B0899-MONOMER,NC_000913.2
G366,b1081,1136593,1137535,G366-MONOMER,,G366-MONOMER,NC_000913.2
EG10582,b3939,4126694,4127855,EG10582-MONOMER,,O-SUCCHOMOSERLYASE-CPLX,NC_000913.2
G7214,b2343,2458671,2458956,G7214-MONOMER,,G7214-MONOMER,NC_000913.2
EG11967,b1082,1137600,1139244,EG11967-MONOMER,,CPLX0-7452,NC_000913.2
EG13139,b1386,1447099,1449373,EG13139-MONOMER,,AMINEOXID-CPLX,NC_000913.2
G7027,b1878,1960603,1960996,G7027-MONOMER,,G7027-MONOMER,NC_000913.2
EG10602,b1889,1973352,1974279,EG10602-MONOMER,,CPLX0-7452,NC_000913.2
G7676,b3222,3367496,3368372,G7676-MONOMER,,CPLX0-8588,NC_000913.2
G6966,b1780,1861873,1862758,G6966-MONOMER,,G6966-MONOMER,NC_000913.2
G7354,b2603,2739896,2740415,G7354-MONOMER,,G7354-MONOMER,NC_000913.2
G7677,b3223,3368368,3369058,G7677-MONOMER,,NANE-MONOMER,NC_000913.2
G6840,b1582,1653370,1653697,G6840-MONOMER,,G6840-MONOMER,NC_000913.2
G363,b1078,1133951,1134734,G363-MONOMER,,CPLX0-7452,NC_000913.2
EG10636,b0676,699596,700817,EG10636-MONOMER,,MONOMER0-2261,NC_000913.2
G6651,b1313,1372986,1374039,G6651-MONOMER,,G6651-MONOMER,NC_000913.2
EG11643,b1535,1620983,1621874,EG11643-MONOMER,,CPLX0-7802,NC_000913.2
EG10632,b0677,700825,701974,EG10632-MONOMER,,NAG6PDEACET-CPLX,NC_000913.2
G6505,b0984,1045071,1047168,G6505-MONOMER,,G6505-MONOMER,NC_000913.2
EG10324,b1946,2019111,2019525,EG10324-MONOMER,,CPLX0-7452,NC_000913.2
G7630,b3131,3275877,3276687,G7630-MONOMER,,G7630-MONOMER,NC_000913.2
G6405,b0788,820764,821721,G6405-MONOMER,,G6405-MONOMER,NC_000913.2
G6971,b1785,1868408,1869884,G6971-MONOMER,,G6971-MONOMER,NC_000913.2
EG10637,b3225,3370704,3371598,EG10637-MONOMER,,ACNEULY-CPLX,NC_000913.2
G6287,b0518,545903,547571,G6287-MONOMER,,G6287-MONOMER,NC_000913.2
G360,b1075,1131076,1131772,G360-MONOMER,,G360-MONOMER,NC_000913.2
EG10633,b0678,702033,702834,EG10633-MONOMER,,GLUCOSAMINE-6-P-DEAMIN-CPLX,NC_000913.2
G6103,b0219,239418,240189,G6103-MONOMER,,G6103-MONOMER,NC_000913.2
EG11389,b1926,2003736,2004102,EG11389-MONOMER,,EG11389-MONOMER,NC_000913.2
G0-8601,b4467,3122257,3123481,G0-8601-MONOMER,,CPLX0-7458,NC_000913.2
G0-16697,G0-16697,0,77,G0-16697-RNA,,RNA0-396,G0-16697
EG10321,b1923,2000133,2001630,EG10321-MONOMER,,CPLX0-7452,NC_000913.2
G6283,b0514,541111,542257,G6283-MONOMER,,GLY3KIN-MONOMER,NC_000913.2
G0-10738,G0-10738,0,168,G0-10738-RNA,,RNA0-378,G0-10738
G357,b1072,1129426,1130086,G357-MONOMER,,G357-MONOMER,NC_000913.2
EG10351,b2799,2929886,2931035,EG10351-MONOMER,,LACTALDREDUCT-CPLX,NC_000913.2
G0-10470,b4557,3882838,3883096,G0-10470-MONOMER,,MONOMER0-2692,NC_000913.2
EG11347,b1938,2011252,2012911,EG11347-MONOMER,,CPLX0-7452,NC_000913.2
G7544,b4468,3123491,3124544,G7544-MONOMER,,CPLX0-7458,NC_000913.2
EG12444,b1110,1166821,1167361,EG12444-MONOMER,,EG12444-MONOMER,NC_000913.2
EG10151,b1881,1964416,1965061,EG10151-MONOMER,,CHEZ-CPLX,NC_000913.2
EG11583,b0507,533139,534921,EG11583-MONOMER,,GLYOCARBOLIG-CPLX,NC_000913.2
EG12269,b3548,3710258,3710957,EG12269-MONOMER,,EG12269-MONOMER,NC_000913.2
G379,b1943,2016409,2017537,G379-MONOMER,,G379-MONOMER,NC_000913.2
G7545,b2979,3124543,3126043,G7545-MONOMER,,CPLX0-7458,NC_000913.2
EG12016,b2135,2223065,2223653,EG12016-MONOMER,,EG12016-MONOMER,NC_000913.2
EG12396,b2067,2141289,2144607,EG12396-MONOMER,,CPLX0-8535,NC_000913.2
EG12608,b0035,34780,35371,EG12608-MONOMER,,CAIE-MONOMER,NC_000913.2
EG11894,b2012,2082249,2082477,EG11894-MONOMER,,EG11894-MONOMER,NC_000913.2
EG11018,b1421,1490493,1492134,EG11018-MONOMER,,TRG-CPLX,NC_000913.2
EG11560,b0039,39243,40386,EG11560-MONOMER,,CROBETREDUCT-MONOMER,NC_000913.2
EG11719,b3696,3873460,3874117,EG11719-MONOMER,,EG11719-MONOMER,NC_000913.2
EG10148,b1884,1966527,1967388,EG10148-MONOMER,,CHER-MONOMER,NC_000913.2
EG11564,b0043,44179,45466,EG11564-MONOMER,,EG11564-MONOMER,NC_000913.2
EG11522,b0702,732998,733325,EG11522-MONOMER,,EG11522-MONOMER,NC_000913.2
G369,b1071,1129057,1129351,G369-MONOMER,,G369-MONOMER,NC_000913.2
EG11557,b0036,35376,36162,EG11557-MONOMER,,CARNRACE-MONOMER,NC_000913.2
EG11293,b1209,1262099,1262723,EG11293-MONOMER,,EG11293-MONOMER,NC_000913.2
EG11975,b1948,2019892,2020630,EG11975-MONOMER,,CPLX0-7451,NC_000913.2
EG11565,b0044,45462,45750,EG11565-MONOMER,,EG11565-MONOMER,NC_000913.2
G7844,b4176,4402408,4402606,G7844-MONOMER,,G7844-MONOMER,NC_000913.2
EG10841,b1924,2001895,2003302,EG10841-MONOMER,,CPLX0-7452,NC_000913.2
EG11559,b0038,37897,39115,EG11559-MONOMER,,CARNDEHYDRA-CPLX,NC_000913.2
EG11174,b3121,3266436,3267624,EG11174-MONOMER,,EG11174-MONOMER,NC_000913.2
G7572,b3022,3166269,3166566,G7572-MONOMER,,CPLX0-7822,NC_000913.2
EG10023,b4014,4213500,4215102,EG10023-MONOMER,,MALATE-SYNTHASE,NC_000913.2
G7699,b3283,3429441,3429984,G7699-MONOMER,,G7699-MONOMER,NC_000913.2
G364,b1079,1134786,1135485,G364-MONOMER,,CPLX0-7452,NC_000913.2
EG10026,b4016,4216618,4218355,EG10026-MONOMER,,CPLX0-230,NC_000913.2
EG11110,b0736,773974,774379,EG11110-MONOMER,,EG11110-MONOMER,NC_000913.2
EG11654,b1939,2012903,2013899,EG11654-MONOMER,,CPLX0-7452,NC_000913.2
EG10491,b4018,4220826,4221651,EG10491-MONOMER,,CPLX0-7606 // CPLX0-7605,NC_000913.2
G7612,b3098,3247396,3247702,G7612-MONOMER,,G7612-MONOMER,NC_000913.2
EG10554,b4034,4243251,4244442,EG10554-MONOMER,,ABC-16-CPLX,NC_000913.2
EG10022,b4015,4215131,4216436,EG10022-MONOMER,,ISOCIT-LYASE,NC_000913.2
EG10021,b4352,4585931,4586888,EG10021-MONOMER,,EG10021-MONOMER,NC_000913.2
G6972,b1786,1870064,1871555,G6972-MONOMER,,G6972-MONOMER,NC_000913.2
G6880,b1640,1716516,1717626,G6880-MONOMER,,G6880-MONOMER,NC_000913.2
G7495,b2876,3012308,3013079,G7495-MONOMER,,G7495-MONOMER,NC_000913.2
G361,b1076,1131796,1133005,G361-MONOMER,,CPLX0-7452,NC_000913.2
G6567,b1107,1163317,1164343,G6567-MONOMER,,G6567-MONOMER,NC_000913.2
G7382,b2647,2776167,2780748,G7382-MONOMER,,G7382-MONOMER,NC_000913.2
EG11447,b2696,2816982,2817168,EG11447-MONOMER,,CPLX0-8253 // CPLX0-8028 // CPLX0-1041,NC_000913.2
